average_speed,datetime,name,hourly_volume,volume
26.0,2025-11-01 21:25:00,n_s_01_0,38,3
33.0,2025-11-01 21:25:00,n_s_01_1,34,3
30.0,2025-11-01 21:20:00,e_w_01_0,37,3
34.0,2025-11-01 21:20:00,e_w_01_1,41,3
70.0,2025-11-01 21:20:00,e_w_01_2,7,1
0.0,2025-11-01 21:20:00,e_n_0,0,0
31.0,2025-11-01 21:20:00,w_e_01_2,37,3
1.0,2025-11-01 21:20:00,e_n_1,3,0
32.0,2025-11-01 21:20:00,w_s_0,7,1
12.0,2025-11-01 21:20:00,w_e_01_0,44,4
19.0,2025-11-01 21:20:00,w_e_01_1,52,4
23.0,2025-11-01 21:20:00,n_s_01_0,53,4
23.0,2025-11-01 21:20:00,n_s_01_1,47,4
37.0,2025-11-01 21:15:00,e_w_01_0,31,3
40.0,2025-11-01 21:15:00,e_w_01_1,45,4
90.0,2025-11-01 21:15:00,e_w_01_2,3,0
0.0,2025-11-01 21:15:00,e_n_0,0,0
19.0,2025-11-01 21:15:00,w_e_01_2,22,2
1.0,2025-11-01 21:15:00,e_n_1,3,0
21.0,2025-11-01 21:15:00,w_s_0,8,1
14.0,2025-11-01 21:15:00,w_e_01_0,46,4
12.0,2025-11-01 21:15:00,w_e_01_1,50,4
22.0,2025-11-01 21:15:00,n_s_01_0,35,3
22.0,2025-11-01 21:15:00,n_s_01_1,36,3
35.0,2025-11-01 21:10:00,e_w_01_0,34,3
36.0,2025-11-01 21:10:00,e_w_01_1,38,3
51.0,2025-11-01 21:10:00,e_w_01_2,4,0
0.0,2025-11-01 21:10:00,e_n_0,0,0
35.0,2025-11-01 21:10:00,w_e_01_2,23,2
1.0,2025-11-01 21:10:00,e_n_1,3,0
20.0,2025-11-01 21:10:00,w_s_0,12,1
10.0,2025-11-01 21:10:00,w_e_01_0,35,3
28.0,2025-11-01 21:10:00,w_e_01_1,40,3
22.0,2025-11-01 21:10:00,n_s_01_0,40,3
27.0,2025-11-01 21:10:00,n_s_01_1,36,3
29.0,2025-11-01 21:05:00,e_w_01_0,36,3
38.0,2025-11-01 21:05:00,e_w_01_1,40,3
135.0,2025-11-01 21:05:00,e_w_01_2,3,0
0.0,2025-11-01 21:05:00,e_n_0,0,0
24.0,2025-11-01 21:05:00,w_e_01_2,25,2
1.0,2025-11-01 21:05:00,e_n_1,1,0
17.0,2025-11-01 21:05:00,w_s_0,6,0
15.0,2025-11-01 21:05:00,w_e_01_0,38,3
24.0,2025-11-01 21:05:00,w_e_01_1,38,3
23.0,2025-11-01 21:05:00,n_s_01_0,34,3
28.0,2025-11-01 21:05:00,n_s_01_1,42,4
31.0,2025-11-01 21:00:00,e_w_01_0,49,4
